0.0 0.000266666666667 39.9994666684 39.9997333351
0.001 0.00106665955557 39.9984000196 39.9994666791
0.002 0.00239995733359 39.9968000818 39.9992000391
0.003 0.0042665244462 39.9946668978 39.9989334222
0.004 0.00666631111834 39.9920005244 39.9986668355
0.005 0.00959925335582 39.9888010329 39.9984002862
0.006 0.013065272947 39.9850685084 39.9981337813
0.007 0.0170642774647 39.9808030505 39.9978673279
0.008 0.0215961602692 39.976004773 39.9976009332
0.009 0.0266608005104 39.9706738038 39.9973346043
0.01 0.0322580631314 39.964810285 39.9970683482
0.011 0.0383877988721 39.9584143731 39.996802172
0.012 0.0450498442733 39.9514862386 39.9965360829
0.013 0.0522440216806 39.9440260663 39.996270088
0.014 0.0599701392496 39.936034055 39.9960041943
0.015 0.068227990951 39.9275104179 39.9957384089
0.016 0.0770173565756 39.9184553824 39.9954727389
0.017 0.0863380017408 39.9088691897 39.9952071915
0.018 0.0961896778964 39.8987520957 39.9949417736
0.019 0.106572122332 39.8881043701 39.9946764924
0.02 0.117485058182 39.8769262968 39.994411355
0.021 0.128928194435 39.8652181739 39.9941463683
0.022 0.140901225943 39.8529803136 39.9938815395
0.023 0.153403833424 39.8402130423 39.9936168757
0.024 0.166435683476 39.8269167004 39.9933523838
0.025 0.179996428584 39.8130916424 39.993088071
0.026 0.194085707129 39.7987382372 39.9928239443
0.027 0.208703143397 39.7838568674 39.9925600108
0.028 0.22384834759 39.7684479298 39.9922962774
0.029 0.239520915838 39.7525118354 39.9920327512
0.03 0.255720430205 39.736049009 39.9917694392
0.031 0.272446458705 39.7190598899 39.9915063486
0.032 0.289698555311 39.7015449308 39.9912434862
0.033 0.30747625997 39.6835045991 39.990980859
0.034 0.325779098608 39.6649393756 39.9907184742
0.035 0.344606583151 39.6458497555 39.9904563386
0.036 0.363958211534 39.6262362478 39.9901944594
0.037 0.383833467714 39.6060993756 39.9899328433
0.038 0.404231821686 39.5854396759 39.9896714976
0.039 0.425152729493 39.5642576995 39.989410429
0.04 0.446595633247 39.5425540113 39.9891496446
0.041 0.468559961137 39.5203291901 39.9888891513
0.042 0.491045127449 39.4975838286 39.988628956
0.043 0.514050532579 39.4743185332 39.9883690658
0.044 0.537575563052 39.4505339245 39.9881094875
0.045 0.561619591533 39.4262306366 39.9878502281
0.046 0.58618197685 39.4014093176 39.9875912945
0.047 0.611262064007 39.3760706295 39.9873326935
0.048 0.636859184202 39.3502152479 39.9870744321
0.049 0.662972654848 39.3238438623 39.9868165171
0.05 0.689601779586 39.2969571759 39.9865589555
0.051 0.716745848307 39.2695559058 39.9863017541
0.052 0.744404137171 39.2416407826 39.9860449197
0.053 0.772575908624 39.2132125507 39.9857884593
0.054 0.80126041142 39.1842719682 39.9855323796
0.055 0.830456880641 39.1548198069 39.9852766875
0.056 0.860164537716 39.1248568521 39.9850213898
0.057 0.890382590441 39.0943839029 39.9847664933
0.058 0.921110233003 39.0634017718 39.9845120048
0.059 0.952346646 39.0319112851 39.9842579311
0.06 0.984090996462 38.9999132825 39.984004279
0.061 1.01634243788 38.9674086173 39.9837510552
0.062 1.0491001102 38.9343981563 39.9834982665
0.063 1.0823631399 38.9008827797 39.9832459196
0.064 1.11613063997 38.8668633813 39.9829940212
0.065 1.15040170994 38.8323408682 39.9827425782
0.066 1.18517543591 38.7973161611 39.982491597
0.067 1.22045089059 38.761790194 39.9822410846
0.068 1.2562271333 38.7257639142 39.9819910475
0.069 1.29250321001 38.6892382824 39.9817414925
0.07 1.32927815336 38.6522142727 39.9814924261
0.071 1.36655098268 38.6146928723 39.981243855
0.072 1.40432070404 38.5766750818 39.9809957858
0.073 1.44258631024 38.538161915 39.9807482252
0.074 1.48134678087 38.4991543989 39.9805011798
0.075 1.52060108232 38.4596535738 39.9802546561
0.076 1.56034816781 38.4196604929 39.9800086607
0.077 1.60058697741 38.3791762228 39.9797632002
0.078 1.6413164381 38.3382018431 39.9795182812
0.079 1.68253546376 38.2967384463 39.9792739101
0.08 1.72424295521 38.2547871382 39.9790300934
0.081 1.76643780027 38.2123490375 39.9787868378
0.082 1.80911887372 38.1694252758 39.9785441496
0.083 1.85228503742 38.1260169979 39.9783020353
0.084 1.89593514027 38.0821253612 39.9780605014
0.085 1.94006801826 38.0377515361 39.9778195544
0.086 1.98468249453 37.992896706 39.9775792006
0.087 2.02977737935 37.9475620671 39.9773394464
0.088 2.0753514702 37.9017488282 39.9771002984
0.089 2.12140355177 37.855458211 39.9768617627
0.09 2.16793239601 37.8086914499 39.9766238459
0.091 2.21493676214 37.7614497921 39.9763865542
0.092 2.26241539673 37.7137344973 39.976149894
0.093 2.31036703367 37.6655468379 39.9759138715
0.094 2.35879039426 37.6168880989 39.9756784932
0.095 2.40768418721 37.5677595779 39.9754437651
0.096 2.45704710869 37.518162585 39.9752096937
0.097 2.50687784236 37.4680984428 39.9749762851
0.098 2.55717505939 37.4175684863 39.9747435457
0.099 2.60793741854 37.3665740629 39.9745114814
0.1 2.65916356614 37.3151165326 39.9742800987
0.101 2.71085213616 37.2631972675 39.9740494036
0.102 2.76300175025 37.2108176521 39.9738194023
0.103 2.81561101774 37.1579790832 39.9735901009
0.104 2.86867853574 37.1046829699 39.9733615056
0.105 2.9222028891 37.0509307333 39.9731336224
0.106 2.97618265051 36.9967238069 39.9729064574
0.107 3.03061638052 36.9420636362 39.9726800167
0.108 3.08550262755 36.8869516787 39.9724543063
0.109 3.14083992799 36.8313894042 39.9722293322
0.11 3.19662680617 36.7753782943 39.9720051005
0.111 3.25286177445 36.7189198426 39.971781617
